,0,1
0,0,64
1,0,64
0,1,64
1,1,64
0,2,64
1,2,64
0,3,64
1,3,64
0,4,64
1,4,64
0,5,64
1,5,64
0,6,64
1,6,64
0,7,64
1,7,64
0,8,64
1,8,64
0,9,64
1,9,64
0,10,64
1,10,64
0,11,64
1,11,64
0,12,64
1,12,64
0,13,64
1,13,64
0,14,64
1,14,64
0,15,64
1,15,64
0,16,64
1,16,64
0,17,64
1,17,64
0,18,64
1,18,64
0,19,64
1,19,64
0,20,64
1,20,64
0,21,64
1,21,64
0,22,64
1,22,64
0,23,64
1,23,64
0,24,64
1,24,64
0,25,64
1,25,64
0,26,64
1,26,64
0,27,64
1,27,64
0,28,64
1,28,64
0,29,64
1,29,64
0,30,64
1,30,64
0,31,64
1,31,64
0,32,64
1,32,64
0,33,64
1,33,64
0,34,64
1,34,64
0,35,64
1,35,64
0,36,64
1,36,64
0,37,64
1,37,64
0,38,64
1,38,64
0,39,64
1,39,64
0,40,64
1,40,64
0,41,64
1,41,64
0,42,64
1,42,64
0,43,64
1,43,64
0,44,64
1,44,64
0,45,64
1,45,64
0,46,64
1,46,64
0,47,64
1,47,64
0,48,64
1,48,64
0,49,64
1,49,64
0,50,64
1,50,64
0,51,64
1,51,64
0,52,64
1,52,64
0,53,64
1,53,64
0,54,64
1,54,64
0,55,64
1,55,64
0,56,64
1,56,64
0,57,64
1,57,64
0,58,64
1,58,64
0,59,64
1,59,64
0,60,64
1,60,64
0,61,64
1,61,64
0,62,64
1,62,64
0,63,64
1,63,64
0,64,64
1,64,64
0,65,64
1,65,64
0,66,64
1,66,64
0,67,64
1,67,64
0,68,64
1,68,64
0,69,64
1,69,64
0,70,64
1,70,64
0,71,64
1,71,64
0,72,64
1,72,64
0,73,64
1,73,64
0,74,64
1,74,64
0,75,64
1,75,64
0,76,64
1,76,64
0,77,64
1,77,64
0,78,64
1,78,64
0,79,64
1,79,64
0,80,64
1,80,64
0,81,64
1,81,64
0,82,64
1,82,64
0,83,64
1,83,64
0,84,64
1,84,64
0,85,64
1,85,64
0,86,64
1,86,64
0,87,64
1,87,64
0,88,64
1,88,64
0,89,64
1,89,64
0,90,64
1,90,64
0,91,64
1,91,64
0,92,64
1,92,64
0,93,64
1,93,64
0,94,64
1,94,64
0,95,64
1,95,64
0,96,64
1,96,64
0,97,64
1,97,64
0,98,64
1,98,64
0,99,64
1,99,64
0,100,64
1,100,64
0,101,64
1,101,64
0,102,64
1,102,64
0,103,64
1,103,64
0,104,64
1,104,64
0,105,64
1,105,64
0,106,64
1,106,64
0,107,64
1,107,64
0,108,64
1,108,64
0,109,64
1,109,64
0,110,64
1,110,64
0,111,64
1,111,64
0,112,64
1,112,64
0,113,64
1,113,64
0,114,64
1,114,64
0,115,64
1,115,64
0,116,64
1,116,64
0,117,64
1,117,64
0,118,64
1,118,64
0,119,64
1,119,64
0,120,64
1,120,64
0,121,64
1,121,64
0,122,64
1,122,64
0,123,64
1,123,64
0,124,64
1,124,64
0,125,64
1,125,64
0,126,64
1,126,64
0,127,64
1,127,64
0,128,64
1,128,64
0,129,64
1,129,64
0,130,64
1,130,64
0,131,64
1,131,64
0,132,64
1,132,64
0,133,64
1,133,64
0,134,64
1,134,64
0,135,64
1,135,64
0,136,64
1,136,64
0,137,64
1,137,64
0,138,64
1,138,64
0,139,64
1,139,64
0,140,64
1,140,64
0,141,64
1,141,64
0,142,64
1,142,64
0,143,64
1,143,64
0,144,64
1,144,64
0,145,64
1,145,64
0,146,64
1,146,64
0,147,64
1,147,64
0,148,64
1,148,64
0,149,64
1,149,64
0,150,64
1,150,64
0,151,64
1,151,64
0,152,64
1,152,64
0,153,64
1,153,64
0,154,64
1,154,64
0,155,64
1,155,64
0,156,64
1,156,64
0,157,64
1,157,64
0,158,64
1,158,64
0,159,64
1,159,64
0,160,64
1,160,64
0,161,64
1,161,64
0,162,64
1,162,64
0,163,64
1,163,64
0,164,64
1,164,64
0,165,64
1,165,64
0,166,64
1,166,64
0,167,64
1,167,64
0,168,64
1,168,64
0,169,64
1,169,64
0,170,64
1,170,64
0,171,64
1,171,64
0,172,64
1,172,64
0,173,64
1,173,64
0,174,64
1,174,64
0,175,64
1,175,64
0,176,64
1,176,64
0,177,64
1,177,64
0,178,64
1,178,64
0,179,64
1,179,64
0,180,64
1,180,64
0,181,64
1,181,64
0,182,64
1,182,64
0,183,64
1,183,64
0,184,64
1,184,64
0,185,64
1,185,64
0,186,64
1,186,64
0,187,64
1,187,64
0,188,64
1,188,64
0,189,64
1,189,64
0,190,64
1,190,64
0,191,64
1,191,64
0,192,64
1,192,64
0,193,64
1,193,64
0,194,64
1,194,64
0,195,64
1,195,64
0,196,64
1,196,64
0,197,64
1,197,64
0,198,64
1,198,64
0,199,64
1,199,64
0,200,64
1,200,64
0,201,64
1,201,64
0,202,64
1,202,64
0,203,64
1,203,64
0,204,64
1,204,64
0,205,64
1,205,64
0,206,64
1,206,64
0,207,64
1,207,64
0,208,64
1,208,64
0,209,64
1,209,64
0,210,64
1,210,64
0,211,64
1,211,64
0,212,64
1,212,64
0,213,64
1,213,64
0,214,64
1,214,64
0,215,64
1,215,64
0,216,64
1,216,64
0,217,64
1,217,64
0,218,64
1,218,64
0,219,64
1,219,64
0,220,64
1,220,64
0,221,64
1,221,64
0,222,64
1,222,64
0,223,64
